,Page Name,User Name,Facebook Id,Likes at Posting,Followers at Posting,Created,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),reactions_sum,reactions_groupavg,score
11,Senator Tom Carper,tomcarper,124891107521733,16834,34947,2021-04-22 18:08:59 CEST,Photo,"1,552",723,424,144,106,4,18,4,124,5,,0,0,0,,https://www.facebook.com/124891107521733/posts/4314977288513073,"The House of Representatives just passed #DCStatehood. They chose to support fairness. They chose to support equality. They chose to support giving the over 700,000 DC residents a voice and vote in Congress. Now, it's the Senate's turn. Let's make #DCStatehood a reality.",https://www.facebook.com/tomcarper/photos/a.690280080982830/4314972535180215/?type=3,,This person supports D.C. Statehood and so do these people,,,,,8.04,1552,710.5555555555555,2.184206411258796
12,U.S. Senator Tina Smith,USSenTinaSmith,576525459360552,19533,45398,2021-04-20 02:48:15 CEST,Photo,"3,164",1545,195,148,504,0,3,460,0,309,,0,0,0,,https://www.facebook.com/576525459360552/posts/1442506376095785,"I loved Walter Mondale and I’m not the only one. Mondale was a giant not only because of the positions he held—Minnesota Attorney General, U.S. Senator, Vice President, Democratic Presidential candidate and Ambassador—but because of the work that he did. He provided his strong, compassionate, clear, and fearless voice to the world for over six decades, and he never stopped. Whether it was working with Marian Wright Edelman to lift children out of poverty, fighting to repair the damage of housing discrimination with the Fair Housing Act, or persistently pushing us to protect precious places like the St. Croix River and our beloved Boundary Waters, he charted an unwavering path. He was also a true friend, full of lively questions, incisive and hysterically funny commentary, advice offered with his unique dry wit, birthdays remembered and lunches shared, preferably with onion rings. He deeply loved all his family with the best gift a father can give, unconditional love, expressed with classic Mondale understatement: “Keep up the good work.” I am bereft and so grateful to have known him. May his memory be a blessing and a reminder to do good work and love life.",https://www.facebook.com/USSenTinaSmith/photos/a.578575975822167/1442506289429127/?type=3,,,,,,,8.01,3164,2374.4,1.3325471698113207
13,Senator Tom Carper,tomcarper,124891107521733,16890,34963,2021-04-30 20:46:26 CEST,Photo,"1,510",830,349,71,203,2,38,0,13,4,,0,0,0,,https://www.facebook.com/124891107521733/posts/4338862229457912,"I love birthdays and today we celebrate a special one. For 50 years, the hardworking men and women of Amtrak have gotten us where we need to go when we need to get there. The future is bright for passenger rail in our country.",https://www.facebook.com/tomcarper/photos/a.146756375335206/4338860512791417/?type=3,,,,,,,7.91,1510,710.5555555555555,2.1250977326035967
14,Alex Padilla,alexpadilla4ca,471134912978464,28241,29559,2021-04-30 21:10:02 CEST,Video,389,242,43,16,61,1,16,0,1,9,,0,0,0,,https://www.facebook.com/471134912978464/posts/3992451877513399,"President Biden laid out a concrete vision, backed by policy, for how to build on the momentum of the first 100 days and continue helping the American people.",https://www.cbsnews.com/news/cbs-news-poll-most-viewers-approve-of-bidens-speech/,,,CBS News poll: Most viewers approve of Biden's speech,"Biden was described as caring, inspiring, and bold by those who CBS News polled after the president's speech to a joint session of Congress.",,,7.63,389,506.5652173913044,0.7679169170028324
15,Senator Tom Carper,tomcarper,124891107521733,16891,34965,2021-04-29 02:48:45 CEST,Photo,"1,438",566,530,20,177,3,102,6,26,8,,0,0,0,,https://www.facebook.com/124891107521733/posts/4333726223304846,"Almost 100 days ago, Delaware sent one of our own back to Washington. My friend, and our President Joe Biden, is about to deliver his first #JointAddress and share his ambitious vision for our nation. I'm always proud to be from the First State, but today, I'm especially proud. #HelpIsHere",https://www.facebook.com/tomcarper/photos/a.146756375335206/4333724706638331/?type=3,,,,,,,7.53,1438,710.5555555555555,2.0237685691946834
16,Senator Patrick Leahy,SenatorPatrickLeahy,178569152181267,39553,46658,2021-05-04 23:39:14 CEST,Photo,"1,779",1301,93,31,341,1,0,0,0,12,,0,0,0,,https://www.facebook.com/178569152181267/posts/4047577025280441,"Marcelle and I always stop by Moss Glen Falls in Vermont as we drive by, as we did this week. #ScenicVermont",https://www.facebook.com/SenatorPatrickLeahy/photos/a.1231500300221475/4047576798613797/?type=3,,,Photos from Senator Patrick Leahy's post,,,,7.44,1779,643.8333333333334,2.763137457934248
17,Jon Ossoff,jonossoff,1336293769761923,284226,293376,2021-04-30 18:26:12 CEST,Photo,"38,858",26234,1262,1836,9140,35,14,1,4,332,,0,0,0,,https://www.facebook.com/1336293769761923/posts/4183260428398562,We just passed a water bill that includes funding to remove lead pipes from public schools.,https://www.facebook.com/jonossoff/photos/a.1342524059138894/4183260325065239/?type=3,,,,,,,7.32,38858,38858.0,1.0
18,U.S. Senator Tina Smith,USSenTinaSmith,576525459360552,19735,45618,2021-04-30 23:00:17 CEST,Photo,"2,887",1883,393,41,513,2,41,0,3,11,,0,0,0,,https://www.facebook.com/576525459360552/posts/1449818742031215,Women belong in the Senate.,https://www.facebook.com/USSenTinaSmith/photos/a.577090245970740/1449818568697899/?type=3,,,,,,,7.31,2887,2374.4,1.2158861185983827
19,Senator Catherine Cortez Masto,SenatorCortezMasto,1283446251699112,13658,37909,2021-04-20 23:27:54 CEST,Link,"1,636",816,419,64,267,8,9,12,18,23,,0,0,0,,https://www.facebook.com/1283446251699112/posts/4101600063217036,"This was the right decision. George Floyd should still be alive today. Though the pain experienced by Mr. Floyd’s family, Minneapolis, and all of America cannot be erased, this is a step toward justice. Black Lives Matter. Our work is far from done. We must continue working together to create a stronger, more inclusive justice system that protects all of our communities.",https://www.nytimes.com/2021/04/20/us/chauvin-guilty-murder-george-floyd.html,,,Derek Chauvin is found guilty of murdering George Floyd.,"The jury convicted Mr. Chauvin of second- and third-degree murder, as well as manslaughter. He faces up to 40 years in prison but is likely to be sentenced to far less time, based on state guidelines.",,,7.05,1636,581.2352941176471,2.8146948689403906
20,Senator Joe Manchin III,JoeManchinIII,10150135395755161,62232,95453,2021-05-07 18:15:48 CEST,Link,"1,620",586,700,43,49,5,154,12,67,4,,0,0,0,,https://www.facebook.com/10150135395755161/posts/10165335435050161,"For the third year in a row, I have been ranked the most bipartisan Member of the Senate. I have always prided myself on my efforts to reach across the aisle to work with my colleagues and do what is best for West Virginia and our nation. Unfortunately, each Congress we see less bipartisanship and more gridlock. It is not too late to correct this for the American people and I urge my colleagues – both Democrat and Republican – to genuinely give bipartisanship a chance for the sake of the democracy we all cherish. https://sen.gov/QP71:=:https://www.manchin.senate.gov/newsroom/press-releases/manchin-named-most-bipartisan-senator-for-third-year-in-a-row",https://sen.gov/QP71,https://www.manchin.senate.gov/newsroom/press-releases/manchin-named-most-bipartisan-senator-for-third-year-in-a-row,,Manchin Named Most Bipartisan Senator For Third Year In A Row,The Official U.S. Senate website of Senator Joe Manchin of West Virginia,,,6.92,1620,1062.2857142857142,1.5250134480903712
