,Page Name,User Name,Facebook Id,Likes at Posting,Followers at Posting,Created,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),reactions_sum,reactions_groupavg,score
292,Ben Ray Luján,SenatorLujan,112962521120,25453,29941,2021-04-09 21:34:24 CEST,Photo,560,396,23,16,106,1,0,0,0,18,,0,0,0,,https://www.facebook.com/112962521120/posts/10157611153411121,"Today, I was honored to pin the Korean Service Medal on Walt Hunt, a brave veteran who served in the Korean War. This medal represents a small token of our nation’s appreciation, and it will always represent the immeasurable impact that he and his fellow veterans have had on our country.",https://www.facebook.com/SenatorLujan/photos/a.10150120386381121/10157611152746121/?type=3,,,Photos from Ben Ray Luján's post,,,,2.14,560,498.7857142857143,1.1227266217957899
293,"Senator Angus S. King, Jr.",SenatorAngusSKingJr,142803045874943,44889,68928,2021-04-15 15:43:15 CEST,Link,"1,536",1046,246,96,106,5,29,2,1,5,,0,0,0,,https://www.facebook.com/142803045874943/posts/1872197539602143,"Right now, the national debt is rising while many of America’s wealthiest citizens aren’t paying what they owe – costing the nation hundreds of billions each year. In TIME, I suggest we give the IRS what it needs to enforce the laws already on the books.",https://time.com/5954786/irs-tax-enforcement/,,,A Radical Idea to Address the Deficit: Enforce Tax Laws,"""If we give the IRS the resources it needs to enforce the law, the deficit shrinks and the system works more fairly for everyone.""",,,2.14,1536,1470.5555555555557,1.0445032111824706
294,Senator Chris Murphy,senchrismurphy,2399054590165497,245609,307637,2021-04-30 20:53:28 CEST,Photo,"2,275",1425,580,32,151,24,26,4,20,13,,0,0,0,,https://www.facebook.com/2399054590165497/posts/5489786471092278,"Wheels down in the Middle East. In Qatar, Oman and Jordan this weekend to conduct meetings on Yemen and other regional security issues. Thanks to my good friend Qatari Foreign Minister Mohammed bin Abdulrahman Al-Thani for hosting me for an Iftar dinner tonight at his home.",https://www.facebook.com/senchrismurphy/photos/a.2429070460497243/5489786471092278/?type=3,,,Timeline Photos,,,,2.13,2275,2562.525,0.8877962166222768
295,U.S. Senator Elizabeth Warren,senatorelizabethwarren,131559043673264,3310027,3472519,2021-05-05 21:53:08 CEST,Link,"21,691",17027,614,735,3045,30,37,2,28,173,,0,0,0,,https://www.facebook.com/131559043673264/posts/1836688416493643,"I urged President Biden to do everything he can to help expand global vaccine access, and I'm glad his administration agreed to support the WTO TRIPS waiver to help countries expand manufacturing of treatments and vaccines. This is a humanitarian crisis and it impacts all of us.",https://www.nytimes.com/2021/05/05/us/politics/covid-vaccine-patent-biden.html,,,The Biden administration says it will support lifting patent protections to help produce more vaccines globally.,The move was a breakthrough for international efforts to suspend patent rules as the pandemic rages in India and South America.,,,2.13,21691,22122.28947368421,0.9805043020435451
296,Senator Maggie Hassan,SenatorHassan,523773000968844,23074,37003,2021-04-21 00:14:54 CEST,Status,779,429,220,9,69,1,8,3,8,32,,0,0,0,,https://www.facebook.com/523773000968844/posts/4318320148180758,"Today our criminal justice system worked as it should, bringing justice to George Floyd's family and to the millions of Americans who know that our nation can and must do better. But while today marks progress, we still have far more work to do to ensure equal justice under the law for all. My prayers are with George Floyd's family and my thanks are with the members of the jury who listened to the evidence at hand and followed the law.",,,,,,,,2.12,779,757.2758620689655,1.028687218250535
297,U.S. Senator Tim Kaine,SenatorKaine,482778861771212,195114,309258,2021-04-22 22:34:24 CEST,Link,"5,030",3518,332,217,888,6,16,2,3,48,,0,0,0,,https://www.facebook.com/482778861771212/posts/4117879558261106,"Today the Senate sent a clear, bipartisan message that bigotry has no place in our country. I'm pleased that provisions of the Khalid Jabara-Heather Heyer NO HATE Act were included in this legislation to improve hate crimes reporting and expand assistance and resources for victims of hate crimes. Our work is far from over. We must continue to speak out against racism and violence.",https://www.cnn.com/2021/04/22/politics/senate-vote-hate-crimes-bill/index.html,,,Senate overwhelmingly passes anti-Asian hate crimes bill,"The Senate passed with a wide bipartisan majority Thursday a bill denouncing discrimination against Asian communities in the United States, and creating a new position at the Justice Department to expedite reviews of potential Covid-19-related hate crimes.",,,2.11,5030,4002.0,1.2568715642178911
298,Senator Chuck Schumer,senschumer,15771239406,429062,584691,2021-04-20 20:43:09 CEST,Status,"4,557",1892,1543,192,89,17,393,55,350,26,,0,0,0,,https://www.facebook.com/15771239406/posts/10159600378359407,There is a nationwide effort by Republican-led state legislatures to restrict the right of American citizens to vote—especially Americans of color. This is modern-day Jim Crow. We are working to #RestoreTheVRA to restore our democracy.,,,,,,,,2.11,4557,5172.55223880597,0.8809964191008222
299,U.S. Senator Sherrod Brown,SenSherrodBrown,261478257610775,59236,180725,2021-04-26 23:00:15 CEST,Link,"4,938",2724,890,379,742,51,38,11,76,27,,0,0,0,,https://www.facebook.com/261478257610775/posts/1168671413558117,Agreed - our Medicare at 50 Act will open up affordable health coverage to millions more Americans. Let's get this passed. https://www.yahoo.com/entertainment/proposal-lower-medicare-age-50-130000091.html,https://www.yahoo.com/entertainment/proposal-lower-medicare-age-50-130000091.html,,,New proposal to lower Medicare age to 50 could be a lifeline to millions,Research shows many Americans nearing retirement worry about retaining health coverage.,,,2.1,4938,3680.4285714285716,1.3416915731863526
300,Senator Jon Tester,senatortester,210573031664,58559,74968,2021-04-27 19:04:03 CEST,Native Video,"1,110",801,78,129,91,0,4,0,0,7,owned,5649,10687,0,00:00:23,https://www.facebook.com/210573031664/posts/10159201216686665,"If there's one thing Senator Steve Daines and I definitely agree on, it's that all Montanans should get their COVID-19 vaccine. These shots are safe, effective, and free. Head to vaccinefinder.org now to make your appointment. We got our shots—and we hope you'll get yours too.",https://www.facebook.com/senatortester/videos/492964508543768/,,,,,,,2.1,1110,1555.0714285714287,0.7137935786137521
301,U.S. Senator Kirsten Gillibrand,SenKirstenGillibrand,147791132432624,28099,157386,2021-04-23 16:50:04 CEST,Native Video,525,184,224,29,27,1,47,1,5,7,owned,7376,7738,0,00:01:13,https://www.facebook.com/147791132432624/posts/901898743688522,"It’s simple. Child care is infrastructure. Paid leave is infrastructure. Caregiving is infrastructure. Because if we don’t invest in all three, families can’t get back to work.",https://www.facebook.com/SenKirstenGillibrand/videos/792631754712413/,,,Caregiving Is Infrastructure,,,,2.09,525,959.3703703703703,0.547233911129985
302,U.S. Senator Sherrod Brown,SenSherrodBrown,261478257610775,59180,180737,2021-04-16 17:26:55 CEST,Photo,"6,892",1043,2272,627,58,18,29,2233,216,396,,0,0,0,,https://www.facebook.com/261478257610775/posts/1162476367510955,"Adam Toledo was thirteen years old. Tamir Rice was twelve. Adam and Tamir had their entire lives ahead of them, and they should both be alive today.",https://www.facebook.com/SenSherrodBrown/photos/a.261538294271438/1162476290844296/?type=3,,,,,,,2.09,6892,3680.4285714285716,1.872608003726274
303,Senator Brian Schatz,SenBrianSchatz,357806137657533,12009,24137,2021-04-22 21:26:23 CEST,Link,257,152,40,10,24,0,23,1,3,4,,0,0,0,,https://www.facebook.com/357806137657533/posts/3584818611622920,"This Earth Day, I’m more hopeful than ever before. Now that the president has set bold climate goals for the U.S., it is time for Congress to enact legislation that protects our planet, creates new jobs, and makes sure everyone can benefit from a new clean energy future.",https://www.nbcnews.com/think/opinion/president-biden-s-earth-day-climate-summit-rebuke-trump-s-ncna1264884,,,Opinion | How Biden can best fix Trump's damage to the climate and U.S. leadership,The planet needs more than politicians' words to slow climate change. It needs legislative action — and we have a plan.,,,2.09,257,293.0,0.8771331058020477
304,Ben Ray Luján,SenatorLujan,112962521120,25458,29949,2021-04-19 17:45:54 CEST,Link,547,384,82,41,12,1,5,5,8,9,,0,0,0,,https://www.facebook.com/112962521120/posts/10157630181211121,"Nationwide, there are more than 56,000 orphaned oil and gas wells that release harmful methane emissions and pose community risks. My new bill would make necessary investments across the country to plug every documented orphaned well. https://nmpoliticalreport.com/2021/04/19/federal-lawmakers-seek-funds-to-plug-orphaned-oil-and-gas-wells/",https://nmpoliticalreport.com/2021/04/19/federal-lawmakers-seek-funds-to-plug-orphaned-oil-and-gas-wells/,,,Federal lawmakers seek funds to plug orphaned oil and gas wells,"Even though they aren’t actively producing oil or gas, orphaned wells can still spew climate-changing gases into the atmosphere and threaten water sources. U.S. Sen. Ben Ray Luján, a Democrat from …",,,2.09,547,498.7857142857143,1.0966633252183875
305,Alexandria Ocasio-Cortez,OcasioCortez,1316372698453411,1776057,1870690,2021-05-05 22:23:37 CEST,Link,"57,365",43942,1723,2368,8706,50,129,12,31,404,,0,0,0,,https://www.facebook.com/1316372698453411/posts/3895946987162623,Let’s do insulin next.,https://www.cnbc.com/2021/05/05/us-backs-covid-vaccine-intellectual-property-waivers-to-expand-access-to-shots-worldwide.html,,,"U.S. backs waiving patent protections for Covid vaccines, citing global health crisis",The Biden administration announced Wednesday that it supports waiving intellectual property protections for Covid-19 vaccines.,,,2.08,57365,50609.25,1.1334884433181682
306,U.S. Senator Bernie Sanders,senatorsanders,9124187907,7316078,7374183,2021-04-18 23:22:04 CEST,Link,"31,532",13491,2401,3255,180,391,135,5884,5245,550,,0,0,0,,https://www.facebook.com/9124187907/posts/10159973151122908,Make no mistake about what is happening here: activist Aleksei Navalny is being murdered in front of the world by Vladimir Putin for the crime of exposing Putin’s vast corruption. Navalny’s doctors must be allowed to see him immediately.,https://www.nytimes.com/2021/04/17/opinion/navalny-poisoning-prison-doctors.html?smid=tw-nytopinion&smtyp=cur,,,Opinion | Aleksei Navalny Needs His Doctors,Vladimir Putin may be able to save his nemesis’ life. He must.,,,2.08,31532,43596.68421052631,0.7232660137118105
307,Senator Jeanne Shaheen,SenatorShaheen,127503767282103,30348,47694,2021-05-06 00:20:10 CEST,Link,206,92,78,4,11,1,13,0,6,1,,0,0,0,,https://www.facebook.com/127503767282103/posts/4355183934514044,"Boosting energy efficiency would help create new jobs, lower harmful carbon emissions and save Granite Staters money. Looking forward to working with Senator Rob Portman to harness its full potential and create a cleaner, more sustainable future for all Americans. –J.S.",https://www.vnews.com/Shaheen-Portman-speak-at-Dartmouth-energy-event-40279444,,,Ideas about energy power discussion,"HANOVER — Policymakers looking to combat climate change should turn their attention to “smaller” solutions that, when scaled up, could make a big difference in lowering our reliance on fossil fuels, U.S. Sen. Jeanne Shaheen, D-N.H., said Monday.When...",,,2.08,206,372.77777777777777,0.5526080476900149
308,U.S. Senator Elizabeth Warren,senatorelizabethwarren,131559043673264,3312090,3474983,2021-04-22 20:02:55 CEST,Link,"22,923",17280,1509,919,2590,66,99,41,158,261,,0,0,0,,https://www.facebook.com/131559043673264/posts/1827148570780961,"The people of Massachusetts know deep down in their bones: taxation without representation is fundamentally wrong. The Senate should follow the House’s lead and finally give 700,000 DC residents full rights and representation with #DCStatehood.",https://www.cnbc.com/2021/04/22/house-to-vote-on-dc-statehood-bill-that-faces-long-odds-in-the-senate.html,,,House passes DC statehood bill that faces long odds in the Senate,"The proposal for D.C. statehood, backed by President Biden and most Democrats, still faces long odds in the Senate.",,,2.08,22923,22122.28947368421,1.0361947404796543
309,Senator Chuck Schumer,senschumer,15771239406,429209,584930,2021-04-14 01:49:33 CEST,Link,"6,496",4435,565,387,823,10,155,6,50,65,,0,0,0,,https://www.facebook.com/15771239406/posts/10159583842514407,I fought Donald Trump’s scheme to gut fair housing laws and legalize housing discrimination. I’m proud President Biden is working to ensure equal access to the American dream and eliminating discriminatory policies that've held back progress for too long. https://www.washingtonpost.com/us-policy/2021/04/13/hud-biden-fair-housing-rules/,https://www.washingtonpost.com/us-policy/2021/04/13/hud-biden-fair-housing-rules/,,,Trump gutted Obama-era housing discrimination rules. Biden’s bringing them back.,HUD submits rules to address systemic racism and housing discrimination.,,,2.08,6496,5172.55223880597,1.2558597187796665
310,Senator Bob Menendez,senatormenendez,349744811357,53617,160882,2021-04-17 00:23:50 CEST,Photo,995,334,486,48,13,2,50,33,17,12,,0,0,0,,https://www.facebook.com/349744811357/posts/10159176833041358,"14 years ago, 33 students and educators were killed in the Virginia Tech shooting. Too many in Congress still refuse to act to pass gun safety laws. We owe it to the victims of this shooting and every mass shooting since to act decisively. #EndGunViolence!",https://www.facebook.com/senatormenendez/photos/a.428999531357/10159176832966358/?type=3,,#EndGunViolence EndGunViolence # EndGunViolence ndGunViolence ndGunViolence EndGunViolence BOBMENENDEZ UNITED STATES SENATOR FOR NEW JERSEY,,,,,2.08,995,874.4473684210526,1.1378615065153932
311,Senator Edward J. Markey,EdJMarkey,6846731378,56696,135293,2021-04-11 03:59:56 CEST,Link,"1,048",829,37,39,123,18,1,0,0,1,,0,0,0,,https://www.facebook.com/6846731378/posts/10158545206131379,Congratulations UMass Hockey on your historic national championship!,https://www.gazettenet.com/UMass-hockey-St-Cloud-State-national-championship-game-39926421,,,UMass hockey wins 1st national title by dominating St. Cloud State,"PITTSBURGH – The second time around, the UMass hockey team ensured it finished the job.The Minutemen won their first-ever national championship Saturday night, dominating St. Cloud State, 5-0. UMass was shut out by Minnesota Duluth in 2019 but didn’t...",,,2.07,1048,1048.8297872340424,0.9992088447104169
312,Senator Mark Warner,MarkRWarner,7935122852,90809,168677,2021-04-23 17:19:19 CEST,Link,"2,687",809,1112,114,30,36,480,41,58,7,,0,0,0,,https://www.facebook.com/7935122852/posts/10159516642432853,What a difference a year makes. 🤷🏻‍♂️,https://www.politico.com/news/2021/04/23/trump-bleach-one-year-484399,,,It's been exactly one year since Trump suggested injecting bleach. We’ve never been the same.,"It was wild in the moment. In time, it came to symbolize the chaotic nature of the presidency and the early Covid fight.",,,2.06,2687,2587.3125,1.0385293620310652
313,Alex Padilla,alexpadilla4ca,471134912978464,28282,29603,2021-05-05 19:20:03 CEST,Link,348,232,48,18,38,1,5,0,4,2,,0,0,0,,https://www.facebook.com/471134912978464/posts/4006308186127768,"It is critical that we uncover what transpired with the past administration, in order to prevent it from happening again.",https://www.politico.com/news/2021/05/04/trump-obstruction-justice-doj-485360,,,Judge orders release of DOJ memo justifying not prosecuting Trump,"Amy Berman Jackson blasts former Attorney General William Barr's spin on the Mueller report as ""disingenuous.""",,,2.06,348,506.5652173913044,0.6869796583984207
314,Senator Debbie Stabenow,SenatorStabenow,122289898323229,18220,102840,2021-04-12 15:48:02 CEST,Link,"1,439",472,733,77,30,9,83,6,25,4,,0,0,0,,https://www.facebook.com/122289898323229/posts/859092497976295,Michigan clerks - Republicans & Democrats - raise serious concerns about costs and barriers to voting that are in the bills State Republicans are trying to pass. Our freedom to vote must be protected! https://www.freep.com/story/news/politics/2021/04/09/michigan-republicans-election-bills/4826846001/:=:https://www.freep.com/restricted/?return=https%3A%2F%2Fwww.freep.com%2Fstory%2Fnews%2Fpolitics%2F2021%2F04%2F09%2Fmichigan-republicans-election-bills%2F4826846001%2F,https://www.freep.com/story/news/politics/2021/04/09/michigan-republicans-election-bills/4826846001/,https://www.freep.com/restricted/?return=https%3A%2F%2Fwww.freep.com%2Fstory%2Fnews%2Fpolitics%2F2021%2F04%2F09%2Fmichigan-republicans-election-bills%2F4826846001%2F,,Michigan's clerks have a lot to say about the GOP's 39 election reform bills,"Some proposed changes would prove costly and impractical, Michigan's clerks say. Others leave intact election processes that helped fuel misinformation.",,,2.06,1439,1576.909090909091,0.9125446788885045
315,Sen. Jacky Rosen,SenJackyRosen,766794650136727,7954,16638,2021-04-20 23:47:45 CEST,Status,605,202,297,13,46,3,5,3,5,31,,0,0,0,,https://www.facebook.com/766794650136727/posts/2033665000116346,"While our justice system worked today, George Floyd should still be alive. My heart remains with the Floyd family. We have so much work to do to bring an end to hate and senseless violence, and to reform how we conduct policing in America.",,,,,,,,2.06,605,435.05555555555554,1.3906269952751884
316,Senator Bob Menendez,senatormenendez,349744811357,53978,161208,2021-04-27 18:34:38 CEST,Native Video,503,254,137,39,32,1,32,1,6,1,owned,3278,3488,0,00:00:49,https://www.facebook.com/349744811357/posts/10159201506531358,"NJ is a blue-chip state - we send billions more to the federal treasury than we get back. So no, we're not going to let moocher states like Senator Mitch McConnell's attack our SALT deduction so they can give more tax breaks to the wealthiest corporations. That's not negotiable.",https://www.facebook.com/senatormenendez/videos/3859423777505736/,,,,,,,2.05,503,874.4473684210526,0.5752204399771285
317,Senator Dianne Feinstein,SenatorFeinstein,334887279867783,155647,566147,2021-04-29 17:47:19 CEST,Status,"9,105",2769,3673,280,609,21,1497,27,193,36,,0,0,0,,https://www.facebook.com/334887279867783/posts/4061783610511446,"President Biden’s address to Congress last night made it clear that American priorities are back where they need to be: helping families, children and workers improve their lives. This was a speech to unify the country around a set of values and principles, and I think the American people will appreciate it. This was a speech that can bring the country and the two parties together – and there is so much we need to do. There was no bombast, no rhetoric. It was a presidential speech that was delivered for the American people, with a program to improve people’s lives. It was about families, health care and infrastructure. President Biden understands what it means to benefit everyone, not just the well-to-do. It was the right speech at the right time.",,,,,,,,2.05,9105,3967.6,2.294838189333602
318,Senator Bob Menendez,senatormenendez,349744811357,53604,160887,2021-04-13 21:53:13 CEST,Photo,979,590,88,138,106,3,2,0,0,52,,0,0,0,,https://www.facebook.com/349744811357/posts/10159169809946358,"Today we honor the bravery and courage of the 65th Infantry Regiment, comprised largely of Puerto Rican soldiers who fought in both world wars and the Korean War. We owe these great American patriots a debt of gratitude. #NationalBorinqueneersDay",https://www.facebook.com/senatormenendez/photos/a.10151945058116358/10159169809806358/?type=3,,Borinqueneers 65th Infantry Regiment,,,,,2.04,979,874.4473684210526,1.1195642360588642
319,Senator Tammy Duckworth,SenDuckworth,112300955610529,158397,266612,2021-04-30 21:35:44 CEST,Link,"2,479",1777,208,158,268,4,11,8,4,41,,0,0,0,,https://www.facebook.com/112300955610529/posts/1941447949362478,"The military has failed to address the sexual assault crisis, letting victims down and harming our military’s readiness, recruitment and retention efforts. I joined U.S. Senator Kirsten Gillibrand in introducing a bipartisan bill that would help fix this. https://www.military.com/daily-news/2021/04/29/senate-moves-toward-major-shift-military-law-after-years-of-failure-combat-sexual-assault.html",https://www.military.com/daily-news/2021/04/29/senate-moves-toward-major-shift-military-law-after-years-of-failure-combat-sexual-assault.html,,,Senate Moves Toward Major Shift in Military Law After Years of Failure to Combat Sexual Assault,A bill introduced by Sen. Gillibrand would remove military commanders from the role of prosecuting sexual assault crimes.,,,2.04,2479,3332.535714285714,0.7438779993784227
320,Senator Bob Menendez,senatormenendez,349744811357,53617,160882,2021-04-16 22:53:20 CEST,Photo,978,464,297,56,59,4,87,0,9,2,,0,0,0,,https://www.facebook.com/349744811357/posts/10159176689881358,"Your Friday reminder that, despite my Republican colleagues’ best efforts to get in the way, the #AmericanRescuePlan continues to deliver for our economy.",https://www.facebook.com/senatormenendez/photos/a.10151945058116358/10159176689311358/?type=3,,"erizon 4:50 PM apnews.com 70% Top Stories Topics Video Listen $1,400 stimulus checks helped March retail sales soar 9.8% By JOSEPH PISANI yesterday NEW YORK (AP) Newly vaccinated and armed with $1,400 stimulus checks, Americans went on a spending spree last month, buying new clothes and going out to eat again.",,,,,2.04,978,874.4473684210526,1.1184206566553312
321,Senator Edward J. Markey,EdJMarkey,6846731378,56812,135347,2021-04-24 18:28:31 CEST,Native Video,511,306,90,39,50,0,11,2,6,7,owned,4671,5212,0,00:01:26,https://www.facebook.com/6846731378/posts/10158573425811379,"Many have pledged to formally recognize the Armenian Genocide, but none have done it. Until today. I applaud President Biden for doing the right thing and standing on the right side of history.",https://www.facebook.com/EdJMarkey/videos/1115383252261414/,,,,,,,2.04,511,1048.8297872340424,0.48720965615173956
322,Senator Tammy Duckworth,SenDuckworth,112300955610529,158397,266612,2021-05-01 00:00:44 CEST,Link,"2,468",1296,350,241,200,26,6,227,23,99,,0,0,0,,https://www.facebook.com/112300955610529/posts/1941522102688396,Far too many of our military families are experiencing hunger. I’m working with Sen. Marsha Blackburn on a bipartisan bill to help make sure our servicemembers and their families have enough to eat. https://www.audacy.com/connectingvets/news/politics/bill-would-help-military-families-qualify-for-food-stamps,https://www.audacy.com/connectingvets/news/politics/bill-would-help-military-families-qualify-for-food-stamps,,,Bill aims to help hungry military families qualify for food stamps,American military families across the country struggle with food insecurity and don’t always qualify for help. Capitol Hill lawmakers are now renewing an effort to help struggling lower-income troops feed their families.,,,2.03,2468,3332.535714285714,0.7405772095465701
323,Senator Chris Murphy,senchrismurphy,2399054590165497,245842,307993,2021-04-09 15:09:35 CEST,Link,"1,856",260,677,48,7,27,14,261,545,17,,0,0,0,,https://www.facebook.com/2399054590165497/posts/5386034611467465,This is a despicable act of hate – and we all have an obligation to speak out and stand with the LGBTQ+ community in Connecticut.,https://www.nbcconnecticut.com/news/local/bethel-police-investigate-after-coffee-shops-pride-flag-burned/2460687/,,,Bethel Police Investigate After Coffee Shop's Pride Flag Burned,The Bethel Police Department has launched an investigation after a coffee shop’s pride flag was burned and left at the front door.,,,2.03,1856,2562.525,0.7242856167256905
324,Senator Debbie Stabenow,SenatorStabenow,122289898323229,18220,102840,2021-04-12 18:37:31 CEST,Link,"1,419",407,598,39,34,11,180,31,6,113,,0,0,0,,https://www.facebook.com/122289898323229/posts/859174857968059,"Thank you to my friend, Congressman Dan Kildee, for sharing your story. You are helping others by speaking up about mental health, post-traumatic stress and what people can do to get support. https://www.nbcnews.com/nightly-news/video/congressman-opens-up-about-post-traumatic-stress-after-jan-6-insurrection-110027845668?cid=sm_npd_nn_tw_nn",https://www.nbcnews.com/nightly-news/video/congressman-opens-up-about-post-traumatic-stress-after-jan-6-insurrection-110027845668?cid=sm_npd_nn_tw_nn,,,Congressman opens up about post-traumatic stress after Jan. 6 insurrection,"NBC News’ Hallie Jackson sat down with Rep. Dan Kildee, who took that familiar photo of officers with their guns drawn in the House chamber, for an exclusive interview where he opens up about his mental health struggles since the Jan. 6 attack on the Capitol.",,,2.03,1419,1576.909090909091,0.8998616395710827
325,Senator Kyrsten Sinema,SenatorSinema,233846963416149,60795,77261,2021-04-22 22:21:30 CEST,Link,365,131,180,9,11,5,22,0,5,2,,0,0,0,,https://www.facebook.com/233846963416149/posts/2250967701704055,We’ve seen firsthand how Arizona pays the price for the federal government's failure to fix our broken immigration system. Proud to introduce a bill ensuring the federal government takes steps to secure the border and treat migrants fairly and humanely. http://sinema.senate.gov/sinema-cornyn-announce-bipartisan-bicameral-legislation-addressing-crisis-border:=:https://www.sinema.senate.gov/sinema-cornyn-announce-bipartisan-bicameral-legislation-addressing-crisis-border,http://sinema.senate.gov/sinema-cornyn-announce-bipartisan-bicameral-legislation-addressing-crisis-border,https://www.sinema.senate.gov/sinema-cornyn-announce-bipartisan-bicameral-legislation-addressing-crisis-border,,"Sinema, Cornyn Announce Bipartisan, Bicameral Legislation Addressing Crisis at the Border | Senator Kyrsten Sinema",Senators introduce the Bipartisan Border Solutions Act,,,2.03,365,530.1481481481482,0.6884867961436356
326,Reverend Raphael Warnock,reverendwarnock,109111900634787,141199,148297,2021-04-22 15:30:58 CEST,Link,"4,988",3290,153,358,1083,9,0,0,0,95,,0,0,0,,https://www.facebook.com/109111900634787/posts/329272725285369,Wonderful to see this project open for seniors and veterans in the Warner Robins community and I’m excited to see it continue to grow in the coming years.,https://www.13wmaz.com/article/news/local/its-just-beautiful-warner-robins-unveils-13-tiny-homes-for-seniors-and-veterans-2/93-1034b9a6-6788-4c37-97b4-f6832139d9b2,,,"'It's just beautiful': Warner Robins unveils 13 tiny homes for seniors, veterans","The first 13 houses are finished on Vickie Drive, and soon, the city will break ground on 120 more",,,2.02,4988,4100.8125,1.216344322009358
327,Alex Padilla,alexpadilla4ca,471134912978464,28288,29611,2021-05-07 17:45:03 CEST,Link,265,202,26,16,16,0,2,0,2,1,,0,0,0,,https://www.facebook.com/471134912978464/posts/4012315875526999,"Electrifying our school bus fleet is better for our children's health, the environment, and creating a clean energy economy.",https://www.dailynews.com/2021/05/06/lausd-sen-padilla-pitch-power-of-transitioning-to-electric-school-buses,https://www.dailynews.com/2021/05/06/lausd-sen-padilla-pitch-power-of-transitioning-to-electric-school-buses/,,"LAUSD, Sen. Padilla pitch power of transitioning to electric school buses","After buying its first electric bus recently, LAUSD recently added 10 more to its fleet, and aims to add many more",,,2.02,265,506.5652173913044,0.5231310617114411
328,Senator Chuck Schumer,senschumer,15771239406,429311,584944,2021-04-23 21:08:06 CEST,Status,"4,334",2331,1131,96,416,4,233,7,92,24,,0,0,0,,https://www.facebook.com/15771239406/posts/10159607994269407,Today would be a great day for President Biden and Vice President Harris to #CancelStudentDebt.,,,,,,,,2.01,4334,5172.55223880597,0.8378842397153748
329,Alex Padilla,alexpadilla4ca,471134912978464,28014,29294,2021-04-08 17:30:06 CEST,Video,112,78,17,6,6,0,3,0,1,1,,0,0,0,,https://www.facebook.com/471134912978464/posts/3927538994004688,"Executive action can help curb the epidemic levels of gun violence in this country, but it is paramount that Congress also pass common sense gun safety reforms supported by the vast majority of Americans, and we should eliminate the filibuster to do so.",https://www.cbsnews.com/news/biden-gun-control-executive-action-firearm-definition/,,,Watch Live: Biden to announce executive actions to curb gun violence,"The president is set to nominate David Chipman, a former special agent with the Bureau of Alcohol, Tobacco, Firearms and Explosives, to lead the agency.",,,2.0,112,506.5652173913044,0.22109690155351472
330,Senator Jeanne Shaheen,SenatorShaheen,127503767282103,30332,47699,2021-04-21 16:20:12 CEST,Link,259,94,136,1,8,0,15,0,5,0,,0,0,0,,https://www.facebook.com/127503767282103/posts/4312627772102994,"Increasing renewable energy resources in New Hampshire means lower utility bills for Granite State families, more clean energy jobs and meaningful action against climate change. Renewable energy is good for New Hampshire, good for our country and good for our world. –J.S.",https://www.nhpr.org/post/biden-new-england-energy-goals-could-soon-change-regional-energy-mix#stream/0,,,"Biden, New England Energy Goals Could Soon Change Regional Energy Mix",Listen Listening...,,,1.99,259,372.77777777777777,0.6947839046199702
331,Sen. Jacky Rosen,SenJackyRosen,766794650136727,7957,16641,2021-04-22 21:30:41 CEST,Photo,298,186,42,8,50,0,5,0,1,6,,0,0,0,,https://www.facebook.com/766794650136727/posts/2035380903278089,,https://www.facebook.com/SenJackyRosen/photos/a.800991700050355/2035380876611425/?type=3,,"Senator Jacky Rosen @SenJackyRosen Good news: The Senate just passed the COVID-19 Hate Crimes Act with strong bipartisan support. This critical bill will address the recent surge of anti-Asian hate crimes. Together, we can ensure the AAP community is treated with dignity and respect. #StopAsianHate",,,,,1.99,298,435.05555555555554,0.6849699910611672
332,Senator Brian Schatz,SenBrianSchatz,357806137657533,12006,24132,2021-04-17 01:42:32 CEST,Link,244,165,28,11,34,1,1,0,0,4,,0,0,0,,https://www.facebook.com/357806137657533/posts/3569047919866656,"In 36 states, doctors and their patients have the option to use medical marijuana to manage pain—unless those doctors work for the VA and their patients are veterans. This bill protects veteran patients in these states and gives their VA doctors the option to prescribe medical marijuana to veterans, and it also promises to shed light on how medical marijuana can help with the nation’s opioid epidemic.",https://www.staradvertiser.com/2021/04/16/breaking-news/u-s-sen-brian-schatz-reintroduces-legislation-to-prescribe-medical-marijuana-to-veterans/,,,U.S. Sen. Brian Schatz reintroduces legislation to prescribe medical marijuana to veterans,U.S. Sen. Brian Schatz said today he reintroduced legislation to allow doctors at the U.S. Department of Veterans Affairs to prescribe medical marijuana to veterans in the 36 states that have established medical marijuana programs.,,,1.98,244,293.0,0.8327645051194539
